Project Name,Number of Packages,Number of APIs,Time Taken (seconds)
20d90e1f21792a67eb6d27c445aa7a1f_phase1,2,3,6.46
211868b4f589428d2626_phase1,5,9,9.98
2142891_phase1,6,6,10.06
215101_phase1,2,3,5.71
2152643_phase1,5,12,11.95
215274_phase1,9,22,25.76
2172888_phase1,5,5,9.19
217bfb7e54c6f75b9b1b2b3d73a1a43a_phase1,10,17,30.48
2184906_phase1,4,18,9.96
2192812_phase1,2,5,5.75
21b4442b7e7f36f6a17b_phase1,4,5,9.95
21fbffd7a7990f5e066c_phase1,3,4,8.67
2203822_phase1,3,6,10.02
2205aa857901be69a4186b7a74334a41_phase1,5,17,9.07
220d56ea6fe9a85a4d762128b11adfba_phase1,12,18,8.86
2213915_phase1,5,8,10.51
221685a8e03a01baaf1e_phase1,24,13,8.72
2220293_phase1,6,14,13.33
2229985_phase1,8,11,18.72
2232681_phase1,3,3,8.33
2245426_phase1,2,4,7.45
2280363_phase1,2,4,6.17
2288152_phase1,4,5,10.51
228998_phase1,5,6,6.02
22935c16da4eda92762f_phase1,4,8,7.16
2301119_phase1,5,4,10.13
2310005_phase1,6,10,11.14
2321077_phase1,3,8,7.26
2337dd6cf56f2845bfa901a6b9c430ae_phase1,2,3,6.85
2338529_phase1,4,8,11.42
2344345_phase1,8,3,23.83
2351057_phase1,3,10,7.69
2351079_phase1,2,3,4.51
2358089_phase1,2,3,5.67
23585f7f50005408fc72_phase1,8,13,25.16
23703b934c442a54808e245d9418545a_phase1,5,11,10.82
2371c78fc0a5c8935a7a_phase1,3,3,6.85
2379572_phase1,4,10,8.86
238302_phase1,7,18,14.57
2392540_phase1,5,15,8.29
2395528ca82e1a9b1b5f34391f00e19c_phase1,4,13,10.79
2397ca6bea914adedb30b8bad4d14686_phase1,2,5,5.85
2406a3034b4afb800290_phase1,2,3,6.13
2408388_phase1,4,6,11.08
2416148_phase1,2,5,6.93
2420407_phase1,4,10,11.53
242176c5bdb282b0a327_phase1,6,5,11.3
2423179_phase1,187,187,9.92
2428250_phase1,8,12,17.94
2433411_phase1,6,10,13.03
2438871_phase1,3,8,9.04
246474141cbe588eb9fb_phase1,5,8,7.38
246727_phase1,4,6,9.06
2471505_phase1,5,7,10.79
2475758_phase1,3,5,7.88
2477361_phase1,2,6,3.38
247d1f1e86fa3749429791cf457052e2_phase1,1,1,3.77
2511428_phase1,4,6,8.71
2511464_phase1,6,10,11.6
2522574_phase1,3,8,4.04
2545a281e3f17ba6ef82_phase1,2,3,7.45
256155_phase1,6,8,11.16
2571471_phase1,6,7,15.26
2577781_phase1,4,11,11.44
2581132_phase1,3,3,4.93
2584789_phase1,4,7,9.52
258a248d20334e781b56_phase1,4,5,10.42
2590850_phase1,3,5,7.84
25b92260471cfbdc8054_phase1,15,20,4.19
25d48938c07b73541361_phase1,5,6,13.58
25d98841e6a82f30ae5cac24e9039856_phase1,11,17,27.36
2604241_phase1,5,6,11.34
260617_phase1,4,8,7.87
261818_phase1,3,3,8.57
2620735_phase1,2,5,7.41
2620876_phase1,2,5,5.38
2623926_phase1,2,2,5.96
2628382_phase1,11,18,18.55
263113_phase1,3,3,6.93
2632394_phase1,5,5,10.41
2635074_phase1,3,7,6.55
2636213_phase1,3,3,4.08
2638485_phase1,3,6,36.86
265a43f255716c11cc62_phase1,4,7,11.99
265e68a5e879b5540ebc_phase1,3,15,8.72
2660685_phase1,3,3,6.03
2661065_phase1,14,29,29.6
268379_phase1,2,9,5.74
2692786_phase1,3,6,7.31
2692960_phase1,7,11,15.07
26a33ce1e82092b4d2dbdf18c3610fde_phase1,4,5,10.14
2704426_phase1,13,21,27.71
2705927_phase1,7,10,14.86
2708979_phase1,4,15,9.56
271862_phase1,2,3,5.78
2719812_phase1,2,5,6.47
2721811_phase1,2,3,5.97
2725286_phase1,3,6,7.51
2729506_phase1,6,13,16.18
273bef4c5b4490c687b2f92ee721b546_phase1,4,5,8.23
2757171_phase1,10,14,17.94
2760477_phase1,9,12,14.07
2760f2f12201f638d7de_phase1,3,5,7.02
2764305_phase1,3,4,7.67
2768310_phase1,4,24,9.27
276a2b26cab5bc22d882_phase1,2,2,5.9
2773137_phase1,10,11,15.08
27737c5f2de213216360_phase1,3,5,6.88
2778605_phase1,4,14,9.23
2779820_phase1,5,13,11.7
2783865_phase1,14,28,10.32
2786290_phase1,10,12,19.05
2787060_phase1,2,0,6.69
2788978_phase1,5,6,10.79
2790749_phase1,3,3,13.97
2792956_phase1,2,2,4.02
2798682_phase1,3,4,6.49
27a1eea9f1d01056ebb0_phase1,5,6,10.22
27ab7d2a30bbaf5ef431b4a02194ac60_phase1,2,18,6.78
27bbd6895c0afb314879_phase1,2,4,7.03
27dd0d768ccede849051_phase1,5,18,10.92
27f33798d12317575c6c_phase1,4,7,10.16
2816295_phase1,6,8,15.2
2821234_phase1,2,4,7.52
2821544_phase1,11,23,18.86
2830057_phase1,6,7,12.64
2836237_phase1,2,4,6.24
2838603_phase1,6,7,10.18
283860_phase1,10,20,19.23
2838927_phase1,5,15,14.06
2840020_phase1,6,9,13.3
284507_phase1,3,13,8.55
2856099_phase1,3,3,15.12
2859545_phase1,4,11,10.9
2866253_phase1,4,5,3.82
2866461_phase1,9,13,17.93
286805_phase1,3,10,12.98
2869341f38f5b1eeb86d_phase1,2,3,5.97
2870240_phase1,4,5,9.98
2872d7f994d192188970408980267e6e_phase1,6,8,12.12
287dbf64163fda470c89e8b992e112e0_phase1,4,20,15.26
28802627584b21ba1f6a_phase1,8,10,11.38
2888158_phase1,3,4,9.09
2888380_phase1,3,5,8.61
2890739_phase1,6,7,13.82
2894514_phase1,5,13,13.93
2894704_phase1,6,10,8.2
2899595_phase1,7,13,18.5
28adf35f1e4ba3145e2d_phase1,2,3,5.4
28bf77e9a95ae6b70b14141feacb1f84_phase1,3,5,14.32
28d2311cc6b28fe9bec0_phase1,7,14,4.08
28f95f95731a5a24e553_phase1,3,8,8.21
2901479_phase1,8,14,16.57
2902213_phase1,8,13,20.97
290224_phase1,2,5,4.92
